date,number,remaining,brewer,name,colour,brewer_location,alcohol_by_volume,ibu,specific_style,specific_style_colour,general_style,general_style_colour,description,price,is_currently_available,date
2025-05-31T03:04:59.425972-07:00,15,72,Parallel 49 Brewing Company,Superdelic Time Machine,#eaa118,"East Vancouver, British Columbia",6.4,39,India Pale Ale,#F09000,Pale Ales and IPAs,#CC8F00,"This heavily dryhopped hazy IPA showcases a new hop variety from New Zealand, Superdelic. We combined it with a yeast strain that enhances fruity thiol production with mash-hopping. High in passionfruit, mango, lime, gooseberry, sweet candy, and berry aroma. ",8.75,True,2025-05-31T03:04:59.425972-07:00
2025-05-31T03:04:59.425972-07:00,9,81,Parallel 49 Brewing Company,The Red Light Sting,#cf4a1f,"East Vancouver, British Columbia",6.0,40,India Pale Ale,#F09000,Pale Ales and IPAs,#CC8F00,"A dry, easy-drinking red IPA. Hop characters of lime, pine, kiwi, gooseberry, and spice. Kight grainy malt with a hint of bread, raisin, and roast complexity. Moderate bitterness with dry finish with evergreen aftertaste.
",8.25,True,2025-05-31T03:04:59.425972-07:00
2025-05-31T03:04:59.425972-07:00,25,52,Parallel 49 Brewing Company,Trash Panda Northeast Hazy IPA,#F09000,"East Vancouver, British Columbia",5.5,37,India Pale Ale,#F09000,Pale Ales and IPAs,#CC8F00,"Trash Panda uses huge amounts of dry hopping, giving this beer complex notes of melon, tropical fruit and pear. Its hop and malt varieties leave a visible haziness and smooth, juicy mouth feel. ",8.25,True,2025-05-31T03:04:59.425972-07:00
2025-05-31T03:04:59.425972-07:00,30,63,Parallel 49 Brewing Company,Tricycle Grapefruit Radler,#F79400,"East Vancouver, British Columbia",3.5,11,Seasonal,#F06000,Seasonal Taps,#F06000,A classic German summer thirst-quenching mix of Bavarian lager and fresh grapefruit juice.,8.25,True,2025-05-31T03:04:59.425972-07:00
2025-05-31T03:04:59.425972-07:00,55,97,Parallel 49 Brewing Company,What's the Craic?,#893906,"East Vancouver, British Columbia",5.6,40,Red Ale,#A84800,"Brown, Amber and Cream Ales",#A84800,"An easy-drinking Irish Red Ale with a nuanced malt profile. A delightful grainy sweetness, toasted bread, and delicate toffee notes from the malts. ",8.75,True,2025-05-31T03:04:59.425972-07:00
2025-05-31T03:04:59.425972-07:00,35,76,Rewind Beer Co.,BIG West Coast IPA,#cd7e04,"Port Moody, British Columbia",7.3,65,India Pale Ale,#F09000,Pale Ales and IPAs,#CC8F00,"The 90’s called: they want their IPA back. With HUGE notes of dank pine, citrus & candied fruit, followed by an assertively BIG AND BOLD IPA bitterness, as it should be.",8.25,True,2025-05-31T03:04:59.425972-07:00
2025-05-31T03:04:59.425972-07:00,51,45,Slackwater Brewing,Idleback Amber Ale,#7a3403,"Penticton , British Columbia",5.5,25,Amber Ale,#903000,"Brown, Amber and Cream Ales",#A84800,This amber ale combines the best ingredients that Europe and North America have to offer. Belgian crystal malts provide notes of dark fruit and raisins and Cascade hops provide a slight bitterness and a hint of fresh pine.,8.75,True,2025-05-31T03:04:59.425972-07:00
2025-05-31T03:04:59.425972-07:00,50,72,Slackwater Brewing,Party Wave Hazy,#cc731a,"Penticton , British Columbia",4.5,25,India Pale Ale,#F09000,Pale Ales and IPAs,#CC8F00,"Hazy, pillowy soft body of Pilsner malt, wheat and oats, wrapped in heavy late and dry-hop additions of Mosaic & Amarillo",8.75,True,2025-05-31T03:04:59.425972-07:00
2025-05-31T03:04:59.425972-07:00,52,85,St. Augustine's,House Hazy IPA,#B5A502,"Vancouver, British Columbia",5.0,15,India Pale Ale,#F09000,Pale Ales and IPAs,#CC8F00,St Augustines Hazy IPA,8.25,True,2025-05-31T03:04:59.425972-07:00
2025-05-31T03:04:59.425972-07:00,48,88,St. Augustine's,House Lager,#F0D830,"Vancouver, British Columbia",5.0,18,Lager,#F1D744,Lagers and Pilsners,#F1D744,Bavarian-style craft lager by Parallel 49.,8.25,True,2025-05-31T03:04:59.425972-07:00
